model,trigram_overlap,word_validity
out-twain-1000k,56.00000000000001,58.121827411167516
out-twain-100k,59.0,54.07079646017699
out-twain-10k,21.0,36.140350877192986
out-twain-500k,54.0,49.198868991517436
out-twain-50k,60.0,47.95539033457249
